Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,0.129791,1.00,0.69,0.002000
2,0.000165,1.00,0.97,0.004000
3,0.127894,0.96,0.85,0.006000
4,0.033876,1.00,0.85,0.008000
5,0.001172,1.00,0.97,0.010000
6,0.000139,1.00,0.97,0.012000
7,0.000657,1.00,0.97,0.014000
8,0.003539,1.00,0.92,0.017000
9,0.013163,1.00,0.90,0.021000
10,0.026674,1.00,0.87,0.023000
11,0.023639,1.00,0.87,0.025000
12,0.010839,1.00,0.90,0.027000
13,0.003697,1.00,0.92,0.029000
14,0.001196,1.00,0.92,0.031000
15,0.000408,1.00,0.97,0.033000
16,0.000160,1.00,0.97,0.035000
17,0.000093,1.00,0.97,0.037000
18,0.000120,1.00,0.97,0.039000
19,0.000248,1.00,0.97,0.041000
20,0.000543,1.00,0.97,0.043000
21,0.001096,1.00,0.97,0.045000
22,0.001937,1.00,0.97,0.047000
23,0.002862,1.00,0.97,0.049000
24,0.003397,1.00,0.97,0.051000
25,0.003196,1.00,0.97,0.053000
26,0.002455,1.00,0.97,0.055000
27,0.001636,1.00,0.97,0.057000
28,0.001008,1.00,0.97,0.061000
29,0.000604,1.00,0.97,0.063000
30,0.000364,1.00,0.97,0.065000
31,0.000227,1.00,0.97,0.067000
32,0.000149,1.00,0.97,0.068000
33,0.000105,1.00,0.97,0.071000
34,0.000081,1.00,0.97,0.073000
35,0.000070,1.00,0.97,0.075000
36,0.000066,1.00,0.97,0.077000
37,0.000067,1.00,0.97,0.079000
38,0.000072,1.00,0.97,0.081000
39,0.000079,1.00,0.97,0.083000
40,0.000089,1.00,0.97,0.085000
41,0.000099,1.00,0.97,0.087000
42,0.000110,1.00,0.97,0.089000
43,0.000121,1.00,0.97,0.091000
44,0.000132,1.00,0.97,0.093000
45,0.000142,1.00,0.97,0.095000
46,0.000151,1.00,0.97,0.097000
47,0.000159,1.00,0.97,0.099000
48,0.000165,1.00,0.97,0.101000
49,0.000170,1.00,0.97,0.103000
50,0.000172,1.00,0.97,0.105000
51,0.000173,1.00,0.97,0.107000
52,0.000173,1.00,0.97,0.109000
53,0.000171,1.00,0.97,0.111000
54,0.000168,1.00,0.97,0.113000
55,0.000163,1.00,0.97,0.115000
56,0.000158,1.00,0.97,0.117000
57,0.000153,1.00,0.97,0.119000
58,0.000146,1.00,0.97,0.121000
59,0.000140,1.00,0.97,0.124000
60,0.000134,1.00,0.97,0.126000
61,0.000127,1.00,0.97,0.128000
62,0.000121,1.00,0.97,0.130000
63,0.000115,1.00,0.97,0.132000
64,0.000109,1.00,0.97,0.134000
65,0.000104,1.00,0.97,0.136000
66,0.000099,1.00,0.97,0.139000
67,0.000094,1.00,0.97,0.141000
68,0.000090,1.00,0.97,0.143000
69,0.000086,1.00,0.97,0.145000
70,0.000082,1.00,0.97,0.147000
71,0.000079,1.00,0.97,0.149000
72,0.000076,1.00,0.97,0.151000
73,0.000073,1.00,0.97,0.153000
74,0.000071,1.00,0.97,0.155000
75,0.000069,1.00,0.97,0.157000
76,0.000067,1.00,0.97,0.159000
77,0.000065,1.00,0.97,0.161000
78,0.000064,1.00,0.97,0.163000
79,0.000063,1.00,0.97,0.164000
80,0.000062,1.00,0.97,0.166000
81,0.000061,1.00,0.97,0.169000
82,0.000060,1.00,0.97,0.171000
83,0.000059,1.00,0.97,0.173000
84,0.000059,1.00,0.97,0.175000
85,0.000058,1.00,0.97,0.177000
86,0.000058,1.00,0.97,0.179000
87,0.000058,1.00,0.97,0.181000
88,0.000057,1.00,0.97,0.184000
89,0.000057,1.00,0.97,0.186000
90,0.000057,1.00,0.97,0.188000
91,0.000057,1.00,0.97,0.190000
92,0.000057,1.00,0.97,0.192000
93,0.000057,1.00,0.97,0.194000
94,0.000057,1.00,0.97,0.196000
95,0.000057,1.00,0.97,0.197000
96,0.000057,1.00,0.97,0.198000
97,0.000057,1.00,0.97,0.200000
98,0.000057,1.00,0.97,0.202000
99,0.000057,1.00,0.97,0.204000
100,0.000057,1.00,0.97,0.206000
