Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,0.120584,0.95,0.95,0.002000
2,0.058391,0.99,0.97,0.004000
3,0.030512,0.99,0.97,0.007000
4,0.027854,0.99,0.97,0.009000
5,0.010881,0.99,0.97,0.011000
6,0.012819,0.99,0.97,0.013000
7,0.013789,0.99,0.97,0.015000
8,0.001494,1.00,0.97,0.018000
9,0.001676,1.00,0.97,0.020000
10,0.001238,1.00,0.97,0.023000
11,0.001188,1.00,0.97,0.026000
12,0.001106,1.00,0.97,0.028000
13,0.001064,1.00,0.97,0.030000
14,0.001033,1.00,0.97,0.032000
15,0.000985,1.00,0.97,0.035000
16,0.000958,1.00,0.97,0.037000
17,0.000929,1.00,0.97,0.039000
18,0.000915,1.00,0.97,0.041000
19,0.000840,1.00,0.97,0.044000
20,0.000806,1.00,0.97,0.046000
21,0.000779,1.00,0.97,0.048000
22,0.000779,1.00,0.97,0.050000
23,0.000763,1.00,0.97,0.053000
24,0.000736,1.00,0.97,0.055000
25,0.000734,1.00,0.97,0.057000
26,0.000699,1.00,0.97,0.060000
27,0.000684,1.00,0.97,0.062000
28,0.000679,1.00,0.97,0.065000
29,0.000681,1.00,0.97,0.067000
30,0.000657,1.00,0.97,0.069000
31,0.000637,1.00,0.97,0.072000
32,0.000619,1.00,0.97,0.074000
33,0.000613,1.00,0.97,0.076000
34,0.000598,1.00,0.97,0.078000
35,0.000612,1.00,0.97,0.081000
36,0.000582,1.00,0.97,0.083000
37,0.000564,1.00,0.97,0.085000
38,0.000554,1.00,0.97,0.086000
39,0.000549,1.00,0.97,0.089000
40,0.000535,1.00,0.97,0.091000
41,0.000572,1.00,0.97,0.093000
42,0.000516,1.00,0.97,0.095000
43,0.000519,1.00,0.97,0.097000
44,0.000499,1.00,0.97,0.099000
45,0.000492,1.00,0.97,0.101000
46,0.000489,1.00,0.97,0.103000
47,0.000504,1.00,0.97,0.105000
48,0.000469,1.00,0.97,0.107000
49,0.000464,1.00,0.97,0.109000
50,0.000457,1.00,0.97,0.112000
51,0.000454,1.00,0.97,0.114000
52,0.000445,1.00,0.97,0.116000
53,0.000441,1.00,0.97,0.118000
54,0.000434,1.00,0.97,0.120000
55,0.000447,1.00,0.97,0.123000
56,0.000423,1.00,0.97,0.125000
57,0.000416,1.00,0.97,0.127000
58,0.000409,1.00,0.97,0.129000
59,0.000414,1.00,0.97,0.131000
60,0.000400,1.00,0.97,0.133000
61,0.000396,1.00,0.97,0.135000
62,0.000389,1.00,0.97,0.137000
63,0.000388,1.00,0.97,0.140000
64,0.000382,1.00,0.97,0.142000
65,0.000379,1.00,0.97,0.144000
66,0.000380,1.00,0.97,0.147000
67,0.000370,1.00,0.97,0.149000
68,0.000363,1.00,0.97,0.151000
69,0.000358,1.00,0.97,0.153000
70,0.000357,1.00,0.97,0.155000
71,0.000352,1.00,0.97,0.158000
72,0.000351,1.00,0.97,0.160000
73,0.000342,1.00,0.97,0.162000
74,0.000339,1.00,0.97,0.164000
75,0.000336,1.00,0.97,0.166000
76,0.000332,1.00,0.97,0.168000
77,0.000337,1.00,0.97,0.170000
78,0.000326,1.00,0.97,0.172000
79,0.000322,1.00,0.97,0.174000
80,0.000322,1.00,0.97,0.177000
81,0.000316,1.00,0.97,0.179000
82,0.000312,1.00,0.97,0.181000
83,0.000313,1.00,0.97,0.183000
84,0.000308,1.00,0.97,0.185000
85,0.000308,1.00,0.97,0.186000
86,0.000303,1.00,0.97,0.188000
87,0.000301,1.00,0.97,0.190000
88,0.000299,1.00,0.97,0.192000
89,0.000301,1.00,0.97,0.194000
90,0.000292,1.00,0.97,0.196000
91,0.000289,1.00,0.97,0.198000
92,0.000287,1.00,0.97,0.199000
93,0.000283,1.00,0.97,0.201000
94,0.000283,1.00,0.97,0.203000
95,0.000279,1.00,0.97,0.205000
96,0.000276,1.00,0.97,0.207000
97,0.000276,1.00,0.97,0.209000
98,0.000272,1.00,0.97,0.211000
99,0.000269,1.00,0.97,0.213000
100,0.000269,1.00,0.97,0.216000
