Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.100000,0.47,0.62,0.004000
2,2.100000,0.47,0.62,0.004000
3,2.100000,0.47,0.62,0.009000
4,2.100000,0.47,0.62,0.012000
5,2.100000,0.47,0.62,0.014000
6,2.100000,0.47,0.62,0.016000
7,2.100000,0.47,0.62,0.016000
8,2.100000,0.47,0.62,0.016000
9,2.100000,0.47,0.62,0.021000
10,2.100000,0.47,0.62,0.023000
11,2.100000,0.47,0.62,0.025000
12,2.100000,0.47,0.62,0.027000
13,2.100000,0.47,0.62,0.029000
14,2.100000,0.47,0.62,0.033000
15,2.100000,0.47,0.62,0.035000
16,2.100000,0.47,0.62,0.037000
17,2.100000,0.47,0.62,0.039000
18,2.100000,0.47,0.62,0.043000
19,2.100000,0.47,0.62,0.045000
20,2.100000,0.47,0.62,0.046000
21,2.100000,0.47,0.62,0.046000
22,2.100000,0.47,0.62,0.046000
23,2.100000,0.47,0.62,0.053000
24,2.100000,0.47,0.62,0.055000
25,2.100000,0.47,0.62,0.057000
26,2.100000,0.47,0.62,0.060000
27,2.100000,0.47,0.62,0.062000
28,2.100000,0.47,0.62,0.064000
29,2.100000,0.47,0.62,0.066000
30,2.100000,0.47,0.62,0.069000
31,2.100000,0.47,0.62,0.069000
32,2.100000,0.47,0.62,0.069000
33,2.100000,0.47,0.62,0.069000
34,2.100000,0.47,0.62,0.069000
35,2.100000,0.47,0.62,0.069000
36,2.100000,0.47,0.62,0.069000
37,2.100000,0.47,0.62,0.069000
38,2.100000,0.47,0.62,0.083000
39,2.100000,0.47,0.62,0.086000
40,2.100000,0.47,0.62,0.086000
41,2.100000,0.47,0.62,0.086000
42,2.100000,0.47,0.62,0.086000
43,2.100000,0.47,0.62,0.086000
44,2.100000,0.47,0.62,0.086000
45,2.100000,0.47,0.62,0.086000
46,2.100000,0.47,0.62,0.102000
47,2.100000,0.47,0.62,0.104000
48,2.100000,0.47,0.62,0.106000
49,2.100000,0.47,0.62,0.108000
50,2.100000,0.47,0.62,0.110000
51,2.100000,0.47,0.62,0.112000
52,2.100000,0.47,0.62,0.114000
53,2.100000,0.47,0.62,0.115000
54,2.100000,0.47,0.62,0.117000
55,2.100000,0.47,0.62,0.120000
56,2.100000,0.47,0.62,0.120000
57,2.100000,0.47,0.62,0.120000
58,2.100000,0.47,0.62,0.120000
59,2.100000,0.47,0.62,0.120000
60,2.100000,0.47,0.62,0.120000
61,2.100000,0.47,0.62,0.133000
62,2.100000,0.47,0.62,0.134000
63,2.100000,0.47,0.62,0.134000
64,2.100000,0.47,0.62,0.134000
65,2.100000,0.47,0.62,0.134000
66,2.100000,0.47,0.62,0.134000
67,2.100000,0.47,0.62,0.134000
68,2.100000,0.47,0.62,0.134000
69,2.100000,0.47,0.62,0.147000
70,2.100000,0.47,0.62,0.147000
71,2.100000,0.47,0.62,0.147000
72,2.100000,0.47,0.62,0.147000
73,2.100000,0.47,0.62,0.147000
74,2.100000,0.47,0.62,0.147000
75,2.100000,0.47,0.62,0.147000
76,2.100000,0.47,0.62,0.147000
77,2.100000,0.47,0.62,0.164000
78,2.100000,0.47,0.62,0.164000
79,2.100000,0.47,0.62,0.164000
80,2.100000,0.47,0.62,0.164000
81,2.100000,0.47,0.62,0.164000
82,2.100000,0.47,0.62,0.164000
83,2.100000,0.47,0.62,0.164000
84,2.100000,0.47,0.62,0.164000
85,2.100000,0.47,0.62,0.179000
86,2.100000,0.47,0.62,0.180000
87,2.100000,0.47,0.62,0.180000
88,2.100000,0.47,0.62,0.180000
89,2.100000,0.47,0.62,0.180000
90,2.100000,0.47,0.62,0.180000
91,2.100000,0.47,0.62,0.180000
92,2.100000,0.47,0.62,0.180000
93,2.100000,0.47,0.62,0.195000
94,2.100000,0.47,0.62,0.197000
95,2.100000,0.47,0.62,0.200000
96,2.100000,0.47,0.62,0.200000
97,2.100000,0.47,0.62,0.200000
98,2.100000,0.47,0.62,0.200000
99,2.100000,0.47,0.62,0.200000
100,2.100000,0.47,0.62,0.200000
