Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.100000,0.47,0.62,0.012000
2,2.100000,0.47,0.62,0.012000
3,2.100000,0.47,0.62,0.017000
4,2.100000,0.47,0.62,0.019000
5,2.100000,0.47,0.62,0.023000
6,2.100000,0.47,0.62,0.026000
7,2.100000,0.47,0.62,0.028000
8,2.100000,0.47,0.62,0.028000
9,2.100000,0.47,0.62,0.028000
10,2.100000,0.47,0.62,0.028000
11,2.100000,0.47,0.62,0.028000
12,2.100000,0.47,0.62,0.028000
13,2.100000,0.47,0.62,0.040000
14,2.100000,0.47,0.62,0.042000
15,2.100000,0.47,0.62,0.044000
16,2.100000,0.47,0.62,0.046000
17,2.100000,0.47,0.62,0.046000
18,2.100000,0.47,0.62,0.046000
19,2.100000,0.47,0.62,0.052000
20,2.100000,0.47,0.62,0.054000
21,2.100000,0.47,0.62,0.056000
22,2.100000,0.47,0.62,0.058000
23,2.100000,0.47,0.62,0.059000
24,2.100000,0.47,0.62,0.059000
25,2.100000,0.47,0.62,0.064000
26,2.100000,0.47,0.62,0.066000
27,2.100000,0.47,0.62,0.068000
28,2.100000,0.47,0.62,0.070000
29,2.100000,0.47,0.62,0.072000
30,2.100000,0.47,0.62,0.073000
31,2.100000,0.47,0.62,0.074000
32,2.100000,0.47,0.62,0.076000
33,2.100000,0.47,0.62,0.078000
34,2.100000,0.47,0.62,0.078000
35,2.100000,0.47,0.62,0.078000
36,2.100000,0.47,0.62,0.078000
37,2.100000,0.47,0.62,0.078000
38,2.100000,0.47,0.62,0.078000
39,2.100000,0.47,0.62,0.078000
40,2.100000,0.47,0.62,0.078000
41,2.100000,0.47,0.62,0.094000
42,2.100000,0.47,0.62,0.096000
43,2.100000,0.47,0.62,0.096000
44,2.100000,0.47,0.62,0.096000
45,2.100000,0.47,0.62,0.096000
46,2.100000,0.47,0.62,0.096000
47,2.100000,0.47,0.62,0.096000
48,2.100000,0.47,0.62,0.096000
49,2.100000,0.47,0.62,0.110000
50,2.100000,0.47,0.62,0.110000
51,2.100000,0.47,0.62,0.110000
52,2.100000,0.47,0.62,0.110000
53,2.100000,0.47,0.62,0.110000
54,2.100000,0.47,0.62,0.110000
55,2.100000,0.47,0.62,0.110000
56,2.100000,0.47,0.62,0.110000
57,2.100000,0.47,0.62,0.128000
58,2.100000,0.47,0.62,0.130000
59,2.100000,0.47,0.62,0.132000
60,2.100000,0.47,0.62,0.136000
61,2.100000,0.47,0.62,0.138000
62,2.100000,0.47,0.62,0.140000
63,2.100000,0.47,0.62,0.142000
64,2.100000,0.47,0.62,0.144000
65,2.100000,0.47,0.62,0.146000
66,2.100000,0.47,0.62,0.149000
67,2.100000,0.47,0.62,0.149000
68,2.100000,0.47,0.62,0.149000
69,2.100000,0.47,0.62,0.149000
70,2.100000,0.47,0.62,0.149000
71,2.100000,0.47,0.62,0.149000
72,2.100000,0.47,0.62,0.149000
73,2.100000,0.47,0.62,0.150000
74,2.100000,0.47,0.62,0.153000
75,2.100000,0.47,0.62,0.156000
76,2.100000,0.47,0.62,0.158000
77,2.100000,0.47,0.62,0.159000
78,2.100000,0.47,0.62,0.160000
79,2.100000,0.47,0.62,0.161000
80,2.100000,0.47,0.62,0.161000
81,2.100000,0.47,0.62,0.161000
82,2.100000,0.47,0.62,0.161000
83,2.100000,0.47,0.62,0.161000
84,2.100000,0.47,0.62,0.161000
85,2.100000,0.47,0.62,0.161000
86,2.100000,0.47,0.62,0.161000
87,2.100000,0.47,0.62,0.177000
88,2.100000,0.47,0.62,0.179000
89,2.100000,0.47,0.62,0.181000
90,2.100000,0.47,0.62,0.183000
91,2.100000,0.47,0.62,0.185000
92,2.100000,0.47,0.62,0.187000
93,2.100000,0.47,0.62,0.189000
94,2.100000,0.47,0.62,0.191000
95,2.100000,0.47,0.62,0.192000
96,2.100000,0.47,0.62,0.194000
97,2.100000,0.47,0.62,0.196000
98,2.100000,0.47,0.62,0.196000
99,2.100000,0.47,0.62,0.198000
100,2.100000,0.47,0.62,0.200000
