Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,1.884870,0.52,0.38,0.002000
2,1.883251,0.52,0.38,0.004000
3,1.881257,0.52,0.38,0.006000
4,1.878745,0.52,0.38,0.009000
5,1.875491,0.52,0.38,0.012000
6,1.871122,0.52,0.38,0.014000
7,1.864980,0.52,0.38,0.017000
8,1.855792,0.52,0.38,0.019000
9,1.840787,0.52,0.38,0.021000
10,1.812827,0.52,0.38,0.023000
11,1.748251,0.52,0.38,0.025000
12,1.531229,0.79,0.69,0.027000
13,0.711958,0.88,0.90,0.029000
14,0.636246,0.52,0.38,0.031000
15,0.884996,0.47,0.62,0.033000
16,1.585486,0.59,0.49,0.035000
17,0.662727,0.54,0.62,0.037000
18,1.297295,0.53,0.38,0.039000
19,0.944245,0.63,0.77,0.042000
20,1.012150,0.53,0.38,0.043000
21,0.865154,0.71,0.77,0.045000
22,0.848260,0.71,0.56,0.047000
23,0.609730,0.77,0.79,0.049000
24,0.707859,0.84,0.74,0.051000
25,0.433191,0.82,0.82,0.053000
26,0.498127,0.90,0.87,0.055000
27,0.349536,0.87,0.90,0.057000
28,0.383284,0.93,0.90,0.059000
29,0.314659,0.88,0.90,0.060000
30,0.335484,0.94,0.90,0.061000
31,0.290818,0.89,0.92,0.062000
32,0.304220,0.96,0.90,0.063000
33,0.271063,0.89,0.92,0.067000
34,0.279192,0.96,0.92,0.069000
35,0.253358,0.90,0.95,0.071000
36,0.257387,0.97,0.92,0.073000
37,0.236863,0.91,0.97,0.075000
38,0.237640,0.97,0.92,0.077000
39,0.221215,0.92,0.97,0.079000
40,0.219495,0.97,0.92,0.080000
41,0.206324,0.94,0.97,0.082000
42,0.202849,0.98,0.92,0.084000
43,0.192285,0.96,0.97,0.086000
44,0.187776,0.98,0.95,0.088000
45,0.179306,0.97,0.97,0.090000
46,0.174415,0.99,0.95,0.092000
47,0.167624,0.98,0.97,0.094000
48,0.162859,0.99,0.97,0.096000
49,0.157406,0.98,0.97,0.098000
50,0.153079,0.99,0.97,0.100000
51,0.148668,0.98,0.97,0.102000
52,0.144892,0.99,0.97,0.104000
53,0.141259,0.99,0.97,0.106000
54,0.137999,0.99,0.97,0.108000
55,0.134921,0.99,0.97,0.110000
56,0.132071,0.99,0.97,0.112000
57,0.129373,0.99,0.97,0.113000
58,0.126822,0.99,0.97,0.115000
59,0.124385,0.99,0.97,0.117000
60,0.122049,0.99,0.97,0.119000
61,0.119798,0.99,0.97,0.121000
62,0.117624,0.99,0.97,0.123000
63,0.115520,0.99,0.97,0.125000
64,0.113479,0.99,0.97,0.127000
65,0.111499,0.99,0.97,0.129000
66,0.109575,0.99,0.97,0.131000
67,0.107706,0.99,0.97,0.133000
68,0.105890,0.99,0.97,0.135000
69,0.104124,0.99,0.97,0.137000
70,0.102406,0.99,0.97,0.139000
71,0.100736,0.99,0.97,0.141000
72,0.099111,0.99,0.97,0.142000
73,0.097531,0.99,0.97,0.145000
74,0.095992,0.99,0.97,0.147000
75,0.094496,0.99,0.97,0.149000
76,0.093039,0.99,0.97,0.151000
77,0.091620,0.99,0.97,0.152000
78,0.090239,1.00,0.97,0.154000
79,0.088894,1.00,0.97,0.156000
80,0.087584,1.00,0.97,0.158000
81,0.086308,1.00,0.97,0.160000
82,0.085064,1.00,0.97,0.162000
83,0.083852,1.00,0.97,0.164000
84,0.082671,1.00,0.97,0.166000
85,0.081519,1.00,0.97,0.168000
86,0.080396,1.00,0.97,0.169000
87,0.079300,1.00,0.97,0.171000
88,0.078231,1.00,0.97,0.173000
89,0.077188,1.00,0.97,0.175000
90,0.076170,1.00,0.97,0.177000
91,0.075176,1.00,0.97,0.179000
92,0.074206,1.00,0.97,0.180000
93,0.073258,1.00,0.97,0.182000
94,0.072332,1.00,0.97,0.184000
95,0.071428,1.00,0.97,0.186000
96,0.070543,1.00,0.97,0.188000
97,0.069679,1.00,0.97,0.190000
98,0.068834,1.00,0.97,0.192000
99,0.068008,1.00,0.97,0.194000
100,0.067200,1.00,0.97,0.196000
