Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,0.421555,0.82,0.56,0.002000
2,0.001025,1.00,0.95,0.004000
3,0.016536,1.00,0.97,0.006000
4,0.391687,0.84,0.85,0.008000
5,0.320168,0.87,0.85,0.010000
6,0.030244,1.00,0.97,0.012000
7,0.000388,1.00,0.97,0.014000
8,0.000584,1.00,0.95,0.016000
9,0.007288,1.00,0.92,0.020000
10,0.047500,1.00,0.85,0.022000
11,0.113275,0.99,0.74,0.024000
12,0.090517,0.99,0.77,0.026000
13,0.030713,1.00,0.87,0.028000
14,0.006581,1.00,0.92,0.031000
15,0.001286,1.00,0.92,0.033000
16,0.000277,1.00,0.97,0.036000
17,0.000105,1.00,0.97,0.038000
18,0.000229,1.00,0.97,0.039000
19,0.000934,1.00,0.97,0.042000
20,0.003388,1.00,0.97,0.044000
21,0.009420,1.00,0.97,0.045000
22,0.017255,1.00,0.97,0.046000
23,0.018385,1.00,0.97,0.048000
24,0.011710,1.00,0.97,0.050000
25,0.005321,1.00,0.97,0.052000
26,0.002107,1.00,0.97,0.055000
27,0.000828,1.00,0.97,0.057000
28,0.000345,1.00,0.97,0.059000
29,0.000160,1.00,0.97,0.062000
30,0.000091,1.00,0.97,0.064000
31,0.000070,1.00,0.97,0.066000
32,0.000073,1.00,0.97,0.068000
33,0.000092,1.00,0.97,0.070000
34,0.000124,1.00,0.97,0.072000
35,0.000167,1.00,0.97,0.074000
36,0.000222,1.00,0.97,0.076000
37,0.000288,1.00,0.97,0.078000
38,0.000362,1.00,0.95,0.080000
39,0.000443,1.00,0.95,0.082000
40,0.000527,1.00,0.92,0.084000
41,0.000609,1.00,0.92,0.086000
42,0.000685,1.00,0.92,0.088000
43,0.000749,1.00,0.92,0.090000
44,0.000797,1.00,0.92,0.092000
45,0.000826,1.00,0.92,0.094000
46,0.000837,1.00,0.92,0.096000
47,0.000828,1.00,0.92,0.098000
48,0.000803,1.00,0.92,0.100000
49,0.000765,1.00,0.92,0.102000
50,0.000717,1.00,0.92,0.104000
51,0.000663,1.00,0.92,0.106000
52,0.000606,1.00,0.92,0.108000
53,0.000550,1.00,0.92,0.110000
54,0.000495,1.00,0.92,0.112000
55,0.000445,1.00,0.92,0.114000
56,0.000398,1.00,0.95,0.116000
57,0.000356,1.00,0.95,0.118000
58,0.000318,1.00,0.95,0.120000
59,0.000285,1.00,0.97,0.122000
60,0.000255,1.00,0.97,0.124000
61,0.000230,1.00,0.97,0.127000
62,0.000207,1.00,0.97,0.129000
63,0.000188,1.00,0.97,0.131000
64,0.000171,1.00,0.97,0.133000
65,0.000156,1.00,0.97,0.135000
66,0.000144,1.00,0.97,0.137000
67,0.000132,1.00,0.97,0.139000
68,0.000123,1.00,0.97,0.141000
69,0.000114,1.00,0.97,0.143000
70,0.000107,1.00,0.97,0.145000
71,0.000100,1.00,0.97,0.147000
72,0.000095,1.00,0.97,0.149000
73,0.000090,1.00,0.97,0.151000
74,0.000085,1.00,0.97,0.155000
75,0.000082,1.00,0.97,0.157000
76,0.000078,1.00,0.97,0.159000
77,0.000075,1.00,0.97,0.161000
78,0.000073,1.00,0.97,0.163000
79,0.000070,1.00,0.97,0.165000
80,0.000068,1.00,0.97,0.167000
81,0.000067,1.00,0.97,0.169000
82,0.000065,1.00,0.97,0.171000
83,0.000064,1.00,0.97,0.173000
84,0.000062,1.00,0.97,0.175000
85,0.000061,1.00,0.97,0.177000
86,0.000060,1.00,0.97,0.179000
87,0.000059,1.00,0.97,0.181000
88,0.000059,1.00,0.97,0.183000
89,0.000058,1.00,0.97,0.185000
90,0.000057,1.00,0.97,0.187000
91,0.000057,1.00,0.97,0.189000
92,0.000056,1.00,0.97,0.192000
93,0.000056,1.00,0.97,0.194000
94,0.000055,1.00,0.97,0.196000
95,0.000055,1.00,0.97,0.198000
96,0.000055,1.00,0.97,0.200000
97,0.000055,1.00,0.97,0.202000
98,0.000054,1.00,0.97,0.204000
99,0.000054,1.00,0.97,0.206000
100,0.000054,1.00,0.97,0.208000
