Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.099998,0.47,0.62,0.002000
2,2.099998,0.47,0.62,0.004000
3,2.099998,0.47,0.62,0.006000
4,2.099998,0.47,0.62,0.008000
5,2.099998,0.47,0.62,0.010000
6,2.099998,0.47,0.62,0.012000
7,2.099998,0.47,0.62,0.014000
8,2.099998,0.47,0.62,0.016000
9,2.099998,0.47,0.62,0.018000
10,2.099998,0.47,0.62,0.020000
11,2.099998,0.47,0.62,0.025000
12,2.099998,0.47,0.62,0.029000
13,2.099998,0.47,0.62,0.031000
14,2.099998,0.47,0.62,0.033000
15,2.099998,0.47,0.62,0.035000
16,2.099998,0.47,0.62,0.037000
17,2.099998,0.47,0.62,0.039000
18,2.099998,0.47,0.62,0.041000
19,2.099998,0.47,0.62,0.043000
20,2.099998,0.47,0.62,0.045000
21,2.099998,0.47,0.62,0.047000
22,2.099998,0.47,0.62,0.049000
23,2.099998,0.47,0.62,0.051000
24,2.099998,0.47,0.62,0.053000
25,2.099998,0.47,0.62,0.055000
26,2.099998,0.47,0.62,0.057000
27,2.099998,0.47,0.62,0.059000
28,2.099998,0.47,0.62,0.060000
29,2.099998,0.47,0.62,0.061000
30,2.099998,0.47,0.62,0.063000
31,2.099998,0.47,0.62,0.065000
32,2.099998,0.47,0.62,0.067000
33,2.099998,0.47,0.62,0.069000
34,2.099998,0.47,0.62,0.071000
35,2.099998,0.47,0.62,0.073000
36,2.099998,0.47,0.62,0.075000
37,2.099998,0.47,0.62,0.077000
38,2.099998,0.47,0.62,0.079000
39,2.099998,0.47,0.62,0.081000
40,2.099998,0.47,0.62,0.083000
41,2.099998,0.47,0.62,0.085000
42,2.099998,0.47,0.62,0.087000
43,2.099998,0.47,0.62,0.089000
44,2.099998,0.47,0.62,0.091000
45,2.099998,0.47,0.62,0.093000
46,2.099998,0.47,0.62,0.095000
47,2.099998,0.47,0.62,0.097000
48,2.099998,0.47,0.62,0.099000
49,2.099998,0.47,0.62,0.101000
50,2.099998,0.47,0.62,0.103000
51,2.099998,0.47,0.62,0.105000
52,2.099998,0.47,0.62,0.107000
53,2.099998,0.47,0.62,0.109000
54,2.099998,0.47,0.62,0.111000
55,2.099998,0.47,0.62,0.113000
56,2.099998,0.47,0.62,0.114000
57,2.099998,0.47,0.62,0.116000
58,2.099998,0.47,0.62,0.118000
59,2.099998,0.47,0.62,0.120000
60,2.099998,0.47,0.62,0.122000
61,2.099998,0.47,0.62,0.124000
62,2.099998,0.47,0.62,0.126000
63,2.099998,0.47,0.62,0.128000
64,2.099998,0.47,0.62,0.130000
65,2.099998,0.47,0.62,0.132000
66,2.099998,0.47,0.62,0.134000
67,2.099998,0.47,0.62,0.136000
68,2.099998,0.47,0.62,0.138000
69,2.099998,0.47,0.62,0.141000
70,2.099998,0.47,0.62,0.143000
71,2.099998,0.47,0.62,0.145000
72,2.099998,0.47,0.62,0.147000
73,2.099998,0.47,0.62,0.148000
74,2.099998,0.47,0.62,0.149000
75,2.099998,0.47,0.62,0.151000
76,2.099998,0.47,0.62,0.153000
77,2.099998,0.47,0.62,0.155000
78,2.099998,0.47,0.62,0.156000
79,2.099998,0.47,0.62,0.158000
80,2.099998,0.47,0.62,0.160000
81,2.099998,0.47,0.62,0.162000
82,2.099998,0.47,0.62,0.164000
83,2.099998,0.47,0.62,0.166000
84,2.099998,0.47,0.62,0.168000
85,2.099998,0.47,0.62,0.170000
86,2.099998,0.47,0.62,0.172000
87,2.099998,0.47,0.62,0.174000
88,2.099998,0.47,0.62,0.176000
89,2.099998,0.47,0.62,0.178000
90,2.099998,0.47,0.62,0.180000
91,2.099998,0.47,0.62,0.182000
92,2.099998,0.47,0.62,0.184000
93,2.099998,0.47,0.62,0.186000
94,2.099998,0.47,0.62,0.187000
95,2.099998,0.47,0.62,0.190000
96,2.099998,0.47,0.62,0.192000
97,2.099998,0.47,0.62,0.193000
98,2.099998,0.47,0.62,0.194000
99,2.099998,0.47,0.62,0.196000
100,2.099998,0.47,0.62,0.198000
