Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.099998,0.47,0.62,0.002000
2,2.099998,0.47,0.62,0.004000
3,2.099998,0.47,0.62,0.007000
4,2.099998,0.47,0.62,0.010000
5,2.099998,0.47,0.62,0.011000
6,2.099998,0.47,0.62,0.014000
7,2.099998,0.47,0.62,0.017000
8,2.099998,0.47,0.62,0.019000
9,2.099998,0.47,0.62,0.021000
10,2.099998,0.47,0.62,0.023000
11,2.099998,0.47,0.62,0.026000
12,2.099998,0.47,0.62,0.028000
13,2.099998,0.47,0.62,0.030000
14,2.099998,0.47,0.62,0.033000
15,2.099998,0.47,0.62,0.035000
16,2.099998,0.47,0.62,0.037000
17,2.099998,0.47,0.62,0.039000
18,2.099998,0.47,0.62,0.042000
19,2.099998,0.47,0.62,0.044000
20,2.099998,0.47,0.62,0.047000
21,2.099998,0.47,0.62,0.050000
22,2.099998,0.47,0.62,0.052000
23,2.099998,0.47,0.62,0.054000
24,2.099998,0.47,0.62,0.056000
25,2.099998,0.47,0.62,0.058000
26,2.099998,0.47,0.62,0.060000
27,2.099998,0.47,0.62,0.063000
28,2.099998,0.47,0.62,0.065000
29,2.099998,0.47,0.62,0.067000
30,2.099998,0.47,0.62,0.069000
31,2.099998,0.47,0.62,0.071000
32,2.099998,0.47,0.62,0.073000
33,2.099998,0.47,0.62,0.075000
34,2.099998,0.47,0.62,0.078000
35,2.099998,0.47,0.62,0.080000
36,2.099998,0.47,0.62,0.082000
37,2.099998,0.47,0.62,0.084000
38,2.099998,0.47,0.62,0.086000
39,2.099998,0.47,0.62,0.088000
40,2.099998,0.47,0.62,0.090000
41,2.099998,0.47,0.62,0.092000
42,2.099998,0.47,0.62,0.094000
43,2.099997,0.47,0.62,0.096000
44,2.099997,0.47,0.62,0.098000
45,2.099997,0.47,0.62,0.100000
46,2.099997,0.47,0.62,0.102000
47,2.099997,0.47,0.62,0.104000
48,2.099997,0.47,0.62,0.106000
49,2.099997,0.47,0.62,0.108000
50,2.099997,0.47,0.62,0.110000
51,2.099997,0.47,0.62,0.112000
52,2.099997,0.47,0.62,0.114000
53,2.099997,0.47,0.62,0.116000
54,2.099997,0.47,0.62,0.117000
55,2.099997,0.47,0.62,0.120000
56,2.099997,0.47,0.62,0.122000
57,2.099997,0.47,0.62,0.124000
58,2.099997,0.47,0.62,0.127000
59,2.099997,0.47,0.62,0.129000
60,2.099997,0.47,0.62,0.131000
61,2.099997,0.47,0.62,0.133000
62,2.099997,0.47,0.62,0.135000
63,2.099997,0.47,0.62,0.138000
64,2.099997,0.47,0.62,0.140000
65,2.099997,0.47,0.62,0.142000
66,2.099997,0.47,0.62,0.144000
67,2.099997,0.47,0.62,0.146000
68,2.099997,0.47,0.62,0.148000
69,2.099997,0.47,0.62,0.150000
70,2.099997,0.47,0.62,0.152000
71,2.099997,0.47,0.62,0.155000
72,2.099997,0.47,0.62,0.157000
73,2.099997,0.47,0.62,0.159000
74,2.099997,0.47,0.62,0.161000
75,2.099997,0.47,0.62,0.163000
76,2.099997,0.47,0.62,0.165000
77,2.099997,0.47,0.62,0.167000
78,2.099997,0.47,0.62,0.169000
79,2.099997,0.47,0.62,0.171000
80,2.099997,0.47,0.62,0.173000
81,2.099997,0.47,0.62,0.175000
82,2.099997,0.47,0.62,0.177000
83,2.099997,0.47,0.62,0.179000
84,2.099997,0.47,0.62,0.181000
85,2.099997,0.47,0.62,0.184000
86,2.099997,0.47,0.62,0.186000
87,2.099997,0.47,0.62,0.188000
88,2.099997,0.47,0.62,0.191000
89,2.099997,0.47,0.62,0.193000
90,2.099997,0.47,0.62,0.195000
91,2.099997,0.47,0.62,0.197000
92,2.099997,0.47,0.62,0.199000
93,2.099997,0.47,0.62,0.201000
94,2.099997,0.47,0.62,0.203000
95,2.099997,0.47,0.62,0.206000
96,2.099997,0.47,0.62,0.207000
97,2.099997,0.47,0.62,0.210000
98,2.099997,0.47,0.62,0.213000
99,2.099997,0.47,0.62,0.215000
100,2.099997,0.47,0.62,0.217000
