Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,0.037151,0.99,0.95,0.003000
2,0.039161,0.99,0.95,0.005000
3,0.067704,0.98,0.97,0.007000
4,0.004141,1.00,0.97,0.009000
5,0.003812,1.00,0.95,0.011000
6,0.002017,1.00,0.97,0.013000
7,0.001924,1.00,0.97,0.016000
8,0.001908,1.00,0.97,0.018000
9,0.001525,1.00,0.97,0.022000
10,0.001393,1.00,0.97,0.024000
11,0.001396,1.00,0.97,0.027000
12,0.001335,1.00,0.97,0.029000
13,0.001861,1.00,0.97,0.031000
14,0.001171,1.00,0.97,0.034000
15,0.001122,1.00,0.97,0.036000
16,0.001075,1.00,0.97,0.038000
17,0.000988,1.00,0.97,0.041000
18,0.000959,1.00,0.97,0.043000
19,0.000928,1.00,0.97,0.045000
20,0.000905,1.00,0.97,0.047000
21,0.000863,1.00,0.97,0.049000
22,0.000836,1.00,0.97,0.051000
23,0.000800,1.00,0.97,0.054000
24,0.000782,1.00,0.97,0.056000
25,0.000746,1.00,0.97,0.058000
26,0.000736,1.00,0.97,0.060000
27,0.000749,1.00,0.97,0.062000
28,0.000700,1.00,0.97,0.064000
29,0.000680,1.00,0.97,0.066000
30,0.000672,1.00,0.97,0.068000
31,0.000659,1.00,0.97,0.071000
32,0.000640,1.00,0.97,0.073000
33,0.000627,1.00,0.97,0.075000
34,0.000621,1.00,0.97,0.077000
35,0.000609,1.00,0.97,0.079000
36,0.000589,1.00,0.97,0.081000
37,0.000577,1.00,0.97,0.082000
38,0.000573,1.00,0.97,0.082000
39,0.000552,1.00,0.97,0.082000
40,0.000572,1.00,0.97,0.082000
41,0.000530,1.00,0.97,0.082000
42,0.000520,1.00,0.97,0.082000
43,0.000513,1.00,0.97,0.082000
44,0.000504,1.00,0.97,0.098000
45,0.000526,1.00,0.97,0.098000
46,0.000491,1.00,0.97,0.098000
47,0.000480,1.00,0.97,0.098000
48,0.000471,1.00,0.97,0.098000
49,0.000471,1.00,0.97,0.098000
50,0.000477,1.00,0.97,0.098000
51,0.000452,1.00,0.97,0.098000
52,0.000450,1.00,0.97,0.114000
53,0.000441,1.00,0.97,0.114000
54,0.000431,1.00,0.97,0.114000
55,0.000425,1.00,0.97,0.114000
56,0.000421,1.00,0.97,0.114000
57,0.000416,1.00,0.97,0.114000
58,0.000412,1.00,0.97,0.114000
59,0.000410,1.00,0.97,0.131000
60,0.000401,1.00,0.97,0.135000
61,0.000393,1.00,0.97,0.137000
62,0.000389,1.00,0.97,0.139000
63,0.000386,1.00,0.97,0.141000
64,0.000380,1.00,0.97,0.143000
65,0.000381,1.00,0.97,0.146000
66,0.000383,1.00,0.97,0.148000
67,0.000399,1.00,0.97,0.150000
68,0.000369,1.00,0.97,0.152000
69,0.000361,1.00,0.97,0.154000
70,0.000356,1.00,0.97,0.156000
71,0.000352,1.00,0.97,0.158000
72,0.000350,1.00,0.97,0.158000
73,0.000351,1.00,0.97,0.162000
74,0.000348,1.00,0.97,0.166000
75,0.000342,1.00,0.97,0.167000
76,0.000338,1.00,0.97,0.170000
77,0.000333,1.00,0.97,0.172000
78,0.000331,1.00,0.97,0.175000
79,0.000326,1.00,0.97,0.177000
80,0.000323,1.00,0.97,0.179000
81,0.000320,1.00,0.97,0.181000
82,0.000321,1.00,0.97,0.181000
83,0.000315,1.00,0.97,0.181000
84,0.000312,1.00,0.97,0.181000
85,0.000309,1.00,0.97,0.181000
86,0.000307,1.00,0.97,0.181000
87,0.000306,1.00,0.97,0.181000
88,0.000301,1.00,0.97,0.181000
89,0.000298,1.00,0.97,0.196000
90,0.000295,1.00,0.97,0.196000
91,0.000292,1.00,0.97,0.196000
92,0.000291,1.00,0.97,0.196000
93,0.000287,1.00,0.97,0.196000
94,0.000286,1.00,0.97,0.196000
95,0.000285,1.00,0.97,0.196000
96,0.000279,1.00,0.97,0.212000
97,0.000277,1.00,0.97,0.212000
98,0.000275,1.00,0.97,0.212000
99,0.000272,1.00,0.97,0.212000
100,0.000272,1.00,0.97,0.212000
