Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,1.553159,0.52,0.38,0.003000
2,1.506565,0.90,0.97,0.005000
3,0.791882,0.52,0.38,0.007000
4,0.960501,0.47,0.62,0.009000
5,1.682011,0.60,0.51,0.011000
6,0.640262,0.49,0.62,0.013000
7,1.343433,0.52,0.38,0.015000
8,1.226471,0.76,0.79,0.017000
9,0.704539,0.52,0.38,0.019000
10,1.220902,0.81,0.82,0.021000
11,0.555568,0.53,0.38,0.023000
12,0.851904,0.66,0.77,0.026000
13,0.918732,0.59,0.51,0.029000
14,0.711335,0.75,0.79,0.032000
15,0.767515,0.81,0.64,0.034000
16,0.477982,0.81,0.82,0.036000
17,0.553131,0.91,0.87,0.038000
18,0.353917,0.86,0.90,0.040000
19,0.392753,0.93,0.87,0.042000
20,0.309288,0.88,0.90,0.044000
21,0.331324,0.95,0.90,0.046000
22,0.284265,0.88,0.92,0.049000
23,0.297886,0.96,0.90,0.051000
24,0.264292,0.89,0.92,0.053000
25,0.272137,0.96,0.90,0.056000
26,0.246479,0.90,0.97,0.058000
27,0.249925,0.97,0.92,0.060000
28,0.229854,0.91,0.97,0.061000
29,0.229911,0.97,0.92,0.063000
30,0.214074,0.93,0.97,0.065000
31,0.211655,0.98,0.92,0.067000
32,0.199124,0.95,0.97,0.069000
33,0.195103,0.98,0.95,0.071000
34,0.185184,0.97,0.97,0.073000
35,0.180369,0.98,0.97,0.075000
36,0.172522,0.98,0.97,0.077000
37,0.167584,0.99,0.97,0.080000
38,0.161374,0.98,0.97,0.082000
39,0.156769,0.99,0.97,0.084000
40,0.151833,0.98,0.97,0.086000
41,0.147780,0.99,0.97,0.088000
42,0.143799,0.98,0.97,0.090000
43,0.140317,0.99,0.97,0.092000
44,0.137018,0.99,0.97,0.094000
45,0.134013,0.99,0.97,0.096000
46,0.131179,0.99,0.97,0.098000
47,0.128525,0.99,0.97,0.100000
48,0.126003,0.99,0.97,0.102000
49,0.123597,0.99,0.97,0.104000
50,0.121288,0.99,0.97,0.106000
51,0.119064,0.99,0.97,0.108000
52,0.116914,0.99,0.97,0.110000
53,0.114832,0.99,0.97,0.112000
54,0.112813,0.99,0.97,0.114000
55,0.110853,0.99,0.97,0.116000
56,0.108949,0.99,0.97,0.118000
57,0.107099,0.99,0.97,0.120000
58,0.105300,0.99,0.97,0.122000
59,0.103551,0.99,0.97,0.124000
60,0.101851,0.99,0.97,0.126000
61,0.100196,0.99,0.97,0.128000
62,0.098587,0.99,0.97,0.130000
63,0.097021,0.99,0.97,0.132000
64,0.095497,0.99,0.97,0.134000
65,0.094014,0.99,0.97,0.136000
66,0.092571,0.99,0.97,0.138000
67,0.091165,0.99,0.97,0.140000
68,0.089796,1.00,0.97,0.142000
69,0.088464,1.00,0.97,0.144000
70,0.087165,1.00,0.97,0.146000
71,0.085900,1.00,0.97,0.148000
72,0.084667,1.00,0.97,0.150000
73,0.083466,1.00,0.97,0.152000
74,0.082294,1.00,0.97,0.154000
75,0.081152,1.00,0.97,0.156000
76,0.080038,1.00,0.97,0.158000
77,0.078951,1.00,0.97,0.160000
78,0.077891,1.00,0.97,0.162000
79,0.076857,1.00,0.97,0.164000
80,0.075847,1.00,0.97,0.166000
81,0.074861,1.00,0.97,0.168000
82,0.073898,1.00,0.97,0.170000
83,0.072957,1.00,0.97,0.172000
84,0.072039,1.00,0.97,0.174000
85,0.071141,1.00,0.97,0.176000
86,0.070264,1.00,0.97,0.178000
87,0.069406,1.00,0.97,0.180000
88,0.068567,1.00,0.97,0.182000
89,0.067747,1.00,0.97,0.184000
90,0.066945,1.00,0.97,0.186000
91,0.066160,1.00,0.97,0.188000
92,0.065392,1.00,0.97,0.190000
93,0.064640,1.00,0.97,0.192000
94,0.063904,1.00,0.97,0.193000
95,0.063184,1.00,0.97,0.194000
96,0.062478,1.00,0.97,0.196000
97,0.061787,1.00,0.97,0.198000
98,0.061109,1.00,0.97,0.200000
99,0.060446,1.00,0.97,0.202000
100,0.059795,1.00,0.97,0.204000
